predicted_rank,player_id,player_name,player2_id,player2_name,country_code,continent,draw,predicted_points,date
1,92980,KIM ASTRUP,44414.0,ANDERS SKAARUP RASMUSSEN,DEN,Europe,MD,88973.141639727,2034-10-05
2,64729,RASMUS KJÆR,57731.0,FREDERIK SØGAARD,DEN,Europe,MD,55919.68617481546,2034-10-05
3,73857,ANDREAS SØNDERGAARD,81705.0,JESPER TOFT,DEN,Europe,MD,45813.56741736909,2034-10-05
4,68134,DANIEL LUNDGAARD,60507.0,MADS VESTERGAARD,DEN,Europe,MD,41870.78105653967,2034-10-05
5,72885,CHRISTO POPOV,61628.0,TOMA JUNIOR POPOV,FRA,Europe,MD,38922.39951462146,2034-10-05
6,89416,LUCAS CORVEE,22038.0,RONAN LABAR,FRA,Europe,MD,36788.70556648419,2034-10-05
7,56450,WILLIAM KRYGER BOE,75049.0,CHRISTIAN FAUST KJÆR,DEN,Europe,MD,34929.63857459399,2034-10-05
8,59472,BJARNE GEISS,78935.0,JAN COLIN VOELKER,GER,Europe,MD,30287.53519336129,2034-10-05
9,87403,ELOI ADAM,96690.0,LEO ROSSI,FRA,Europe,MD,28685.19461934303,2034-10-05
10,68045,MARK LAMSFUSS,64909.0,MARVIN SEIDEL,GER,Europe,MD,28602.866316442316,2034-10-05
