country_code,continent
ALG,Africa
AUS,Oceania
AUT,Europe
AZE,Europe
BEL,Europe
BRA,Pan America
BUL,Europe
CAN,Pan America
CHN,Asia
CZE,Europe
DEN,Europe
EGY,Africa
ENG,Europe
ESA,Pan America
ESP,Europe
EST,Europe
FIN,Europe
FRA,Europe
GER,Europe
GUA,Pan America
HKG,Asia
HUN,Europe
INA,Asia
IND,Asia
IRL,Europe
ISR,Europe
ITA,Europe
JAM,Pan America
JPN,Asia
KAZ,Asia
KOR,Asia
LAT,Europe
MAC,Asia
MAS,Asia
MDV,Asia
MEX,Pan America
MRI,Africa
MYA,Asia
NED,Europe
NGR,Africa
NOR,Europe
PER,Pan America
PHI,Asia
POL,Europe
RSA,Africa
SCO,Europe
SGP,Asia
SLO,Europe
SRB,Europe
SRI,Asia
SUI,Europe
SWE,Europe
THA,Asia
TPE,Asia
TUR,Europe
UAE,Asia
UGA,Africa
UKR,Europe
USA,Pan America
VIE,Asia
